quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s)
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0,-0.399754,100.0,16.8486,1.1405830042612369e+20,-148662627227.5633,-38.08334160417434,-148662627227.5633,1.1405830042612369e+20,25.63424344129962,-38.08334160417434,25.63424344129962,1.1942478663124214e+18,-1.02691e-05,-3.50899e-21,-2.33612e-21,-3.77298e-21,-1.02691e-05,-9.117699999999999e-21,-3.40462e-23,-8.901460000000001e-23,-3.89783e-05,277517841073625.25,-361714.87582369026,-0.0001439313724231655,-361714.87582369026,277517841073625.25,0.00020706413392533357,-0.0001439313724231655,0.00020706413392533357,1694368756339.1907
1,-0.399754,200.0,16.8454,1.1468762866635281e+20,-149482909876.7363,-41.225362940587374,-149482909876.7363,1.1468762866635281e+20,58.69820467725838,-41.225362940587374,58.69820467725838,9.568997490880042e+17,-9.53621e-06,-1.28998e-21,2.52208e-21,-1.73976e-21,-9.53621e-06,-8.510979999999999e-21,1.8085e-23,-6.679980000000001e-23,-1.77656e-05,581871963060119.9,-758409.8274470646,-0.0001248718638100278,-758409.8274470646,581871963060119.9,0.00022577715268353273,-0.0001248718638100278,0.00022577715268353273,3006813295241.461
2,-0.399754,300.0,16.8418,1.165496908127077e+20,-151909878816.21692,-36.65785667504201,-151909878816.21692,1.165496908127077e+20,57.03300010033894,-36.65785667504201,57.03300010033894,8.44814130902664e+17,-1.62227e-05,-1.45994e-21,4.57813e-21,-4.77561e-22,-1.62227e-05,-7.83058e-21,3.47011e-23,-5.911940000000001e-23,-1.14016e-05,918236614459899.4,-1196822.157605039,-0.0001144722916379873,-1196822.157605039,918236614459899.4,0.0002322885953648592,-0.0001144722916379873,0.0002322885953648592,4107188076780.719
3,-0.399754,400.0,16.838,1.1894329406245349e+20,-155029827465.57462,-32.644477518246504,-155029827465.57462,1.1894329406245349e+20,52.86254554263796,-32.644477518246504,52.86254554263796,7.75716354053365e+17,-2.07827e-05,-1.94145e-21,4.67383e-21,6.44449e-22,-2.07827e-05,-7.94819e-21,3.26917e-23,-5.54151e-23,-1.27294e-05,1264074555152850.2,-1647584.9261479336,-6.588106769971019e-05,-1647584.9261479336,1264074555152850.2,0.0002924759364408979,-6.588106769971019e-05,0.0002924759364408979,5072483146724.309
4,-0.399754,500.0,16.8345,1.2125912958920196e+20,-158048139090.817,-28.92625638602827,-158048139090.817,1.2125912958920196e+20,50.05880096830567,-28.92625638602827,50.05880096830567,7.269921806744522e+17,-2.45628e-05,-1.9036699999999998e-21,3.75499e-21,-2.19557e-21,-2.45628e-05,-7.851e-21,2.41449e-23,-4.98946e-23,-1.77197e-05,1607582030747399.8,-2095311.4169249597,2.4531969382036996e-05,-2095311.4169249597,1607582030747399.8,0.00035971036784808284,2.4531969382036996e-05,0.00035971036784808284,5985933068003.02
5,-0.399754,600.0,16.8316,1.2330829625722366e+20,-160719190883.66544,-25.238911349772337,-160719190883.66544,1.2330829625722366e+20,48.37434695500075,-25.238911349772337,48.37434695500075,6.903977188099064e+17,-2.81179e-05,-4.1126099999999997e-22,2.4849699999999997e-21,-1.74922e-21,-2.81179e-05,-7.52628e-21,1.46942e-23,-4.3636100000000003e-23,-2.43023e-05,1943287068127037.0,-2532866.505515901,0.00013103322340829045,-2532866.505515901,1943287068127037.0,0.0004047052837512497,0.00013103322340829045,0.0004047052837512497,6848615809054.439
6,-0.399754,700.0,16.8293,1.2506615478794517e+20,-163010130472.6887,-21.599484577158645,-163010130472.6887,1.2506615478794517e+20,47.2522331433035,-21.599484577158645,47.2522331433035,6.619316522830669e+17,-3.16477e-05,-7.80414e-22,1.2241399999999999e-21,1.78436e-21,-3.16477e-05,-7.10335e-21,6.544020000000001e-24,-3.7738e-23,-3.12708e-05,2267758134432111.5,-2955789.455862364,0.0002278445421513327,-2955789.455862364,2267758134432111.5,0.00042297684876834205,0.0002278445421513327,0.00042297684876834205,7631451887978.912
7,-0.399437,100.0,16.8414,1.1719749851186686e+20,-152754287425.65973,-32.696066007759576,-152754287425.65973,1.1719749851186686e+20,52.409542139699795,-32.696066007759576,52.409542139699795,1.2835832172816492e+18,-7.56753e-06,-3.92559e-21,-9.55493e-22,-3.62259e-21,-7.56753e-06,-1.1058899999999998e-20,-1.41788e-23,-1.15168e-22,-2.088e-05,268714432166668.3,-350239.6451464294,-0.0001573513094936628,-350239.6451464294,268714432166668.3,0.00021524514438916016,-0.0001573513094936628,0.00021524514438916016,1671513258870.8374
