quantity,T,kappal,kappal,kappal,kappal,kappal,kappal,kappal,kappal,kappal,Step
unit,K,W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),W/(m*K),-
direction,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,-
0,100.0,7.978249733899618,-5.661387570543922e-24,0.0,5.661387570543922e-24,7.978249733899618,0.0,0.0,0.0,0.0,10
1,200.0,3.837824296959981,0.0,0.0,0.0,3.837824296959981,0.0,0.0,0.0,0.0,10
2,300.0,2.5423372282175545,0.0,0.0,0.0,2.5423372282175545,0.0,0.0,0.0,0.0,10
3,400.0,1.902947949237637,0.0,0.0,0.0,1.902947949237637,0.0,0.0,0.0,0.0,10
4,500.0,1.5211161290953668,-2.830693785271961e-24,0.0,0.0,1.5211161290953668,0.0,0.0,0.0,0.0,10
5,600.0,1.267100566552647,0.0,0.0,0.0,1.267100566552647,0.0,0.0,0.0,0.0,10
6,700.0,1.08584787354702,0.0,0.0,0.0,1.08584787354702,0.0,0.0,0.0,0.0,10
7,800.0,0.9500238504111127,0.0,0.0,0.0,0.9500238504111127,0.0,0.0,0.0,0.0,10
8,900.0,0.8444086094428099,-1.4153468926359805e-24,0.0,-1.4153468926359805e-24,0.8444086094428099,0.0,0.0,0.0,0.0,10
9,1000.0,0.7599420825833484,-1.4153468926359805e-24,0.0,0.0,0.7599420825833484,0.0,0.0,0.0,0.0,10
