quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff,m_eff
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),m_e,m_e,m_e,m_e,m_e,m_e,m_e,m_e,m_e
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0,-0.531716,100.0,12.9641,9.37447e+19,-169995000000.0,0.492705,-169995000000.0,9.37447e+19,5.07407,0.492705,5.07407,5.4165e+17,2.13902e-06,9.14121e-22,3.86882e-23,9.72685e-22,2.13902e-06,-2.00558e-22,4.24571e-25,9.11518e-25,-3.61107e-05,228340000000000.0,-414067.0,-2.79247e-06,-414067.0,228340000000000.0,3.06377e-06,-2.79247e-06,3.06377e-06,856377000000.0,22.195515489066803,4.024895973387201e-08,2.018986737425773e-17,4.024895973387201e-08,22.195515489066803,2.0792319633977669e-16,2.018986737425773e-17,2.0792319633977669e-16,3841.4325502961706
1,-0.531716,200.0,12.9631,9.37794e+19,-170058000000.0,-0.274279,-170058000000.0,9.37794e+19,3.2055,-0.274279,3.2055,4.65051e+17,5.28316e-06,1.2824299999999999e-21,-2.45283e-22,1.4411199999999998e-21,5.28316e-06,-1.62659e-22,-1.3909300000000002e-24,1.23362e-24,-5.44059e-05,450137000000000.0,-816268.0,-4.83094e-06,-816268.0,450137000000000.0,3.84027e-06,-4.83094e-06,3.84027e-06,1836900000000.0,22.185591322634576,4.0230981315135215e-08,1.308467603213514e-17,4.0230981315135215e-08,22.185591322634576,1.529206753101716e-16,1.308467603213514e-17,1.5292067531017158e-16,4473.813501921031
2,-0.531716,300.0,12.9596,9.31754e+19,-168962000000.0,-0.432196,-168962000000.0,9.31754e+19,2.43425,-0.432196,2.43425,4.54789e+17,3.88259e-06,9.37771e-22,-1.7028e-22,1.4469899999999999e-21,3.88259e-06,-1.21082e-22,-1.1832000000000001e-24,1.3919e-24,-7.20164e-05,657510000000000.0,-1192310.0,-6.38183e-06,-1192310.0,657510000000000.0,2.39156e-06,-6.38183e-06,2.39156e-06,2573730000000.0,22.323378272921012,4.048067021713113e-08,2.12143976602409e-17,4.048067021713113e-08,22.323378272921012,1.1948548347335224e-16,2.1214397660240897e-17,1.1948548347335224e-16,4573.526844164489
3,-0.531716,400.0,12.9537,9.23467e+19,-167460000000.0,-0.488017,-167460000000.0,9.23467e+19,1.95173,-0.488017,1.95173,4.52715e+17,1.05401e-06,1.06579e-21,-1.10956e-22,9.29858e-22,1.05401e-06,-8.01937e-23,-9.65891e-25,1.29436e-24,-7.87903e-05,857068000000000.0,-1554190.0,-6.73509e-06,-1554190.0,857068000000000.0,1.5052e-06,-6.73509e-06,1.5052e-06,2837420000000.0,22.51344944446382,4.082552212444961e-08,2.4269012464483174e-17,4.082552212444961e-08,22.51344944446382,9.705924182834634e-17,2.4269012464483174e-17,9.705924182834634e-17,4592.387620938266
4,-0.531716,500.0,12.9459,9.15e+19,-165924000000.0,-0.502795,-165924000000.0,9.15e+19,1.62164,-0.502795,1.62164,4.45497e+17,-2.24432e-06,6.83486e-22,-8.68764e-23,8.00335e-22,-2.24432e-06,-5.472970000000001e-23,-8.44628e-25,1.0934400000000001e-24,-7.8976e-05,1041030000000000.0,-1887790.0,-6.65663e-06,-1887790.0,1041030000000000.0,4.11417e-07,-6.65663e-06,4.11417e-07,2821290000000.0,22.70809702209756,4.117834197043187e-08,2.5628719330206705e-17,4.117834197043187e-08,22.70809702209756,8.265904918374316e-17,2.5628719330206705e-17,8.265904918374316e-17,4663.983994329765
5,-0.531716,600.0,12.9369,9.0609e+19,-164308000000.0,-0.495531,-164308000000.0,9.0609e+19,1.37944,-0.495531,1.37944,4.32636e+17,-5.5171e-06,8.95892e-22,-7.54588e-23,-2.56345e-22,-5.5171e-06,-3.80198e-23,-7.472629999999999e-25,8.95682e-25,-7.62747e-05,1204800000000000.0,-2184770.0,-6.74343e-06,-2184770.0,1204800000000000.0,-1.24965e-06,-6.74343e-06,-1.24965e-06,2680300000000.0,22.915454266657115,4.155428776000063e-08,2.6246816979838062e-17,4.155428776000063e-08,22.915454266657115,7.306487257881002e-17,2.6246816979838066e-17,7.306487257881002e-17,4799.291773332628
6,-0.531716,700.0,12.9271,8.9645e+19,-162560000000.0,-0.479381,-162560000000.0,8.9645e+19,1.18932,-0.479381,1.18932,4.16136e+17,-8.58213e-06,1.97883e-22,-6.61538e-23,1.52053e-22,-8.58213e-06,-2.39529e-23,-6.49043e-25,7.37181e-25,-7.2528e-05,1347570000000000.0,-2443650.0,-7.08811e-06,-2443650.0,1347570000000000.0,-3.17773e-06,-7.08811e-06,-3.17773e-06,2496520000000.0,23.14433058602607,4.1969349992352036e-08,2.6661842019783866e-17,4.1969349992352036e-08,23.14433058602607,6.61466809707721e-17,2.6661842019783866e-17,6.61466809707721e-17,4985.806359902309
7,-0.531399,100.0,12.9493,9.325e+19,-169098000000.0,0.223614,-169098000000.0,9.325e+19,5.08462,0.223614,5.08462,5.73854e+17,3.28922e-06,1.44358e-21,1.16911e-22,7.77345e-22,3.28922e-06,8.654330000000001e-23,7.7965e-25,1.90119e-24,-2.18105e-05,227175000000000.0,-411954.0,-8.57811e-07,-411954.0,227175000000000.0,3.7378e-06,-8.57811e-07,3.7378e-06,921596000000.0,22.28779164262172,4.041631089741605e-08,8.684896238197861e-18,4.041631089741605e-08,22.28779164262172,1.9748045870717094e-16,8.68489623819786e-18,1.9748045870717094e-16,3621.716622476231
