quantity,Ef,T,N,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,sigma/tau,S,S,S,S,S,S,S,S,S,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau,kappae/tau
unit,Ry,K,e/uc,S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),S/(m*s),V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,V/K,W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s),W/(m*K*s)
direction,-,-,-,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz,xx,xy,xz,yx,yy,yz,zx,zy,zz
0,-0.399754,100.0,16.8486,4.44396e+19,-57922200000.0,-14.8381,-57922200000.0,4.44396e+19,9.98766,-14.8381,9.98766,4.65305e+17,-1.02691e-05,-3.50899e-21,-2.33612e-21,-3.77298e-21,-1.02691e-05,-9.117699999999999e-21,-3.40462e-23,-8.901460000000001e-23,-3.89783e-05,108127000000000.0,-140932.0,-5.60788e-05,-140932.0,108127000000000.0,8.06767e-05,-5.60788e-05,8.06767e-05,660163000000.0
1,-0.399754,200.0,16.8454,4.46848e+19,-58241800000.0,-16.0623,-58241800000.0,4.46848e+19,22.8701,-16.0623,22.8701,3.72829e+17,-9.53621e-06,-1.28998e-21,2.52208e-21,-1.73976e-21,-9.53621e-06,-8.510979999999999e-21,1.8085e-23,-6.679980000000001e-23,-1.77656e-05,226710000000000.0,-295493.0,-4.86528e-05,-295493.0,226710000000000.0,8.79677e-05,-4.86528e-05,8.79677e-05,1171520000000.0
2,-0.399754,300.0,16.8418,4.54103e+19,-59187400000.0,-14.2827,-59187400000.0,4.54103e+19,22.2213,-14.2827,22.2213,3.29158e+17,-1.62227e-05,-1.45994e-21,4.57813e-21,-4.77561e-22,-1.62227e-05,-7.83058e-21,3.47011e-23,-5.911940000000001e-23,-1.14016e-05,357765000000000.0,-466308.0,-4.46009e-05,-466308.0,357765000000000.0,9.05047e-05,-4.46009e-05,9.05047e-05,1600250000000.0
3,-0.399754,400.0,16.838,4.63429e+19,-60403000000.0,-12.719,-60403000000.0,4.63429e+19,20.5964,-12.719,20.5964,3.02236e+17,-2.07827e-05,-1.94145e-21,4.67383e-21,6.44449e-22,-2.07827e-05,-7.94819e-21,3.26917e-23,-5.54151e-23,-1.27294e-05,492511000000000.0,-641935.0,-2.56687e-05,-641935.0,492511000000000.0,0.000113955,-2.56687e-05,0.000113955,1976350000000.0
4,-0.399754,500.0,16.8345,4.72452e+19,-61579000000.0,-11.2703,-61579000000.0,4.72452e+19,19.504,-11.2703,19.504,2.83252e+17,-2.45628e-05,-1.9036699999999998e-21,3.75499e-21,-2.19557e-21,-2.45628e-05,-7.851e-21,2.41449e-23,-4.98946e-23,-1.77197e-05,626349000000000.0,-816379.0,9.55819e-06,-816379.0,626349000000000.0,0.000140151,9.55819e-06,0.000140151,2332250000000.0
5,-0.399754,600.0,16.8316,4.80436e+19,-62619700000.0,-9.83363,-62619700000.0,4.80436e+19,18.8477,-9.83363,18.8477,2.68994e+17,-2.81179e-05,-4.1126099999999997e-22,2.4849699999999997e-21,-1.74922e-21,-2.81179e-05,-7.52628e-21,1.46942e-23,-4.3636100000000003e-23,-2.43023e-05,757147000000000.0,-986860.0,5.10534e-05,-986860.0,757147000000000.0,0.000157682,5.10534e-05,0.000157682,2668370000000.0
6,-0.399754,700.0,16.8293,4.87285e+19,-63512300000.0,-8.41563,-63512300000.0,4.87285e+19,18.4105,-8.41563,18.4105,2.57903e+17,-3.16477e-05,-7.80414e-22,1.2241399999999999e-21,1.78436e-21,-3.16477e-05,-7.10335e-21,6.544020000000001e-24,-3.7738e-23,-3.12708e-05,883568000000000.0,-1151640.0,8.87732e-05,-1151640.0,883568000000000.0,0.000164801,8.87732e-05,0.000164801,2973380000000.0
7,-0.399437,100.0,16.8414,4.56627e+19,-59516400000.0,-12.7391,-59516400000.0,4.56627e+19,20.4199,-12.7391,20.4199,5.00112e+17,-7.56753e-06,-3.92559e-21,-9.55493e-22,-3.62259e-21,-7.56753e-06,-1.1058899999999998e-20,-1.41788e-23,-1.15168e-22,-2.088e-05,104697000000000.0,-136461.0,-6.13075e-05,-136461.0,104697000000000.0,8.38642e-05,-6.13075e-05,8.38642e-05,651258000000.0
